"gene_name","GO_BP_Count","GO_MF_Count"
"ATP1B1",28,8
"ATP1B2",22,5
"ATP1B3",13,4
"ATP1B4",3,2
"ATP2A1",21,7
"ATP2A2",32,10
"ATP2A3",10,9
"ATP2B1",11,8
"ATP2B2",9,10
"ATP2B3",5,8
"ATP2B4",35,13
"ATP2C1",14,7
"ATP2C2",7,6
"ATP4A",11,6
"ATP4B",9,4
"ATP6AP1",12,4
"ATP6AP2",16,2
"ATP6V0A1",6,3
"ATP6V0A2",7,3
"ATP6V0A4",8,3
"ATP6V0B",7,2
"ATP6V0C",10,4
"ATP6V0D1",8,3
"ATP6V0D2",4,2
"ATP6V0E1",4,3
"ATP6V0E2",4,2
"ATP6V1A",11,5
"ATP6V1B1",22,5
"ATP6V1B2",5,4
"ATP6V1C1",3,2
"ATP6V1C2",3,3
"ATP6V1D",10,2
"ATP6V1E1",3,3
"ATP6V1E2",2,2
"ATP6V1F",7,4
"ATP6V1G1",4,4
"ATP6V1G2",2,3
"ATP6V1G3",1,4
"ATP6V1H",9,4
"ATP7A",58,12
"ATP7B",13,7
"ATP8A1",9,8
"ATP8A2",18,8
"ATP8B1",15,10
"ATP8B2",3,7
"ATP8B3",4,5
"ATP8B4",2,5
"ATP9A",7,6
"ATP9B",3,4
"ATPAF1",1,2
"ATPAF2",2,1
"ATR",29,10
"ATRAID",7,3
"ATRIP",4,2
"ATRN",5,2
"ATRNL1",1,2
"ATRX",23,12
"ATXN1",8,7
"ATXN10",5,1
"ATXN1L",9,5
"ATXN2",6,4
"ATXN2L",2,4
"ATXN3",21,7
"ATXN3L",6,1
"ATXN7",8,1
"ATXN7L3",5,4
"ATXN7L3B",1,1
"AUH",2,4
"AUNIP",3,2
"AUP1",7,4
"AURKA",33,12
"AURKAIP1",3,1
"AURKB",33,6
"AURKC",9,6
"AUTS2",7,2
"AVEN",3,1
"AVIL",9,5
"AVL9",1,0
"AVP",28,8
"AVPI1",1,1
"AVPR1A",27,5
"AVPR1B",13,2
"AVPR2",15,2
"AWAT1",3,1
"AWAT2",6,4
"AXDND1",2,0
"AXIN1",30,15
"AXIN2",30,7
"AXL",44,8
"AZGP1",5,3
"AZI2",7,1
"AZIN1",3,3
"AZU1",25,6
"B2M",43,6
"B3GALNT1",3,2
"B3GALNT2",2,3
"B3GALT1",4,2
"B3GALT2",4,3
"B3GALT4",4,2
"B3GALT5",5,2
"B3GALT6",6,2
"B3GAT1",5,3
"B3GAT2",4,2
"B3GAT3",8,5
"B3GNT2",7,3
"B3GNT3",4,3
"B3GNT4",4,2
"B3GNT5",6,4
"B3GNT6",5,5
"B3GNT7",4,5
"B3GNT8",3,3
"B3GNT9",2,2
"B3GNTL1",2,1
"B4GALNT1",11,2
"B4GALNT2",9,2
"B4GALT1",20,9
"B4GALT2",7,6
"B4GALT3",4,4
"B4GALT4",6,5
"B4GALT5",12,5
"B4GALT6",9,4
"B4GALT7",10,5
"B9D1",8,2
"B9D2",1,2
"BAAT",9,10
"BABAM1",9,2
"BACE1",16,8
"BACE2",8,2
"BACH1",6,8
"BACH2",4,5
"BAD",34,6
"BAG1",6,4
"BAG2",8,8
"BAG3",18,7
"BAG4",16,6
"BAG5",11,5
"BAG6",29,12
"BAHD1",2,3
"BAIAP2",17,8
"BAIAP2L1",6,4
"BAIAP2L2",5,1
"BAIAP3",9,5
"BAK1",53,12
"BAMBI",11,3
"BANF1",11,5
"BANF2",1,3
"BANK1",11,6
"BANP",3,3
"BAP1",28,6
"BARD1",19,7
"BARHL1",7,4
"BARHL2",7,5
"BARX1",8,3
"BARX2",7,7
"BASP1",12,5
"BATF",15,7
"BATF2",4,3
"BATF3",6,6
"BAX",88,8
"BAZ1A",8,3
"BAZ1B",9,7
"BAZ2A",8,7
"BAZ2B",2,3
"BBC3",26,2
"BBIP1",8,1
"BBOX1",1,5
"BBS1",27,5
"BBS10",13,3
"BBS12",8,2
"BBS2",24,2
"BBS4",49,6
"BBS5",7,3
"BBS7",19,2
"BBS9",5,2
"BBX",2,4
"BCAM",3,4
"BCAN",7,3
"BCAP29",5,1
"BCAP31",11,3
"BCAR1",23,3
